Total:,361,Issues,In progress,7,20,Digitz DL,Dgtz HoS,bagged,Isl,148,Digtz DL,Digtz HoS,Available,bagged,,Isl,,,,,148,Digitized DL,Dz HoS,Available,bagged,,,,Isl,,,,,,,,,,,,
Digitized,231,4,In QC,2,1 highlight,19,1,20,18,2 feature,103,14,4,96,,79,,,,,3 digital,74,3,31,50,,,,35,,,,,,,,,,,,
In Island,134,,Prepping,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en route,35,,Bagged,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digitized,Start date of digitiz'n,End date of QC,ready to script,ready to bag,Bagging date,Removed from NAS / fully replicated (date),To Islandora,"Loaded into Islandora, date",MMS ID,Location,File name,Tiffs (#),Tiffs (GB),"In digital
exhibit",Digital exhibit +/-,Pre-exhibit assessment,Repair needed pre-exhibit,Repair start date,Repair end date,Physical display,"Not accessible, date",Author,Year,Title,Place of publication,Oversized non-book work,Language,Keywords,Notes DL,DL server origin 2015,#images,Size (GB),Notes HOSC,Site,Gallery,Date of gallery opening,Date of gallery closing,Priority in exhibit,Batch,Notes KM,HOS gallery link
,,,,,,,,,99187374202042,,,,,2 Feature,ADD,5/28/2015,,,,YES,Not digitizing, ,1491,Hortus sanitatis,Mainz,,,,,,,,,"Bird Library, OUHSC",,8/1/2015,4/15/2016,2',,,
,,,,,,,,,99356425902042,,,,,2 Feature,ADD,6/24/2015,,,,YES,7/17/2015, ,1560,Geneva Bible,Geneva,,,,CANON. ,,,,,History of Science Collections,Galileo Affair,8/1/2015,8/31/2016,2',,,
,,,,,,,,,99293554602042,,,,,2 Feature,ADD,,,,,YES,7/17/2015, ,1611,"King James Bible [first edition, ""He"" issue]",London,,,,,,,,,History of Science Collections,Galileo Affair,8/1/2015,8/31/2016,2',,,
DL,,,,,done,,rsync3,8/8/2015,9999386002042,UL-Bagit [file archive],Great_Comet_1680,,,3 Yes,ADD,-,,,,YES,7/17/2015, ,1680,Abbildung und Beschreibung deß wunderwürdigen unvergleichlichen Cometen [Great Comet of 1680],Nuremberg,YES,,,,,,,,History of Science Collections,Controversy over the Comets,8/1/2015,8/31/2016,,,,
DL,,done,,,,,,,Cataloging needs PDF,WS|HoS|Projects paused,EthiopianBible,,,N,,6/18/2015,,,,YES,7/17/2015, ,nd,Ethiopian Bible,,,,,,WS1,,,,History of Science Collections,Galileo Affair,8/1/2015,8/31/2016,,,,
DL,,done,,,,,,,999779602042,WS|HoS|Ready to export,Schickard_1673,258,62,3 Yes,,6/5/2015,,,,-,,"[Kepler] Schickard, Wilhelm; Matthias Bernegger",1673,Epistolae W. Schickarti & M. Berneggeri mutuae [correspondence with Kepler],Strasbourg,,,,"CANON. 14 cm. Very tightly bound. About 480 images. Bound with: Johannes Kepler and Matthias Bernegger (1672, Strasbourg), Epistolae J. Keppleri & M. Berneggeri mutuae",WS1,,,,,,,,2',,HOSC/Compass,
DL,,,7/13/2015,7/13/2015,done,,hd5,8/2/2015,99176074702042,Bagit2,Accademia_del_cimento_1666,316,75,2 Feature,,5/4/2015,,,,,,Accademia del cimento,1666,Saggi di naturali esperienze,Florence,,,,HASSELBLAD. 37 cm. About 310 pages.,,320,64,,National Weather Center,,,8/31/2016,1,B1,,
,,,,,,,,,99176074702042,,,,,3 Yes,ADD,6/8/2015,,,,,,Accademia del Cimento,1667,Saggi di naturali esperienze,Florence,,,,,,,,,,,,,,,,
,,,,,,,,,99283316402042,,,,,3 Yes,ADD,?,,,,,,Accademia del Cimento,1701,Saggi di naturali esperienze,Naples,,,,,,,,,National Weather Center,,8/1/2015,8/31/2016,2',,,
DL,,done,8/5/2015,8/11/2015,8/17/2015,,hdx0,8/25/2015,9979636802042,Bagit2,Accademia_del_Gelati_1671,473,114,3 Yes,,5/14/2015,,,,YES,,Accademia del Gelati,1671,Prose de’ signori Accademici Gelati,Bologna,,,,"CANON. 21 cm. CANON. It should be shelved under ""Accademia dei Gelati (Bologna, Italy)"": the corporate author. It is 21 cm.–J",WS1,,,,Fred Jones Jr. Museum of Art,,1/21/2016,4/3/2016,2a,,,
,,,,,,,,,,,,,,N,SUBTRACT,,,,,-,,"Acosta, José de ",1596,"Historia naturale, e morale delle Indie",Venice,,,,"CANON. [1], [24], 173, [2] leaves ; 22 cm. ",,,,,,,,,2c,,,
,,,,,,,,,9980446202042,,,,,3 Yes,ADD,6/30/2015,,,,,,"Adhémar, Joseph Alphonse",1842,Revolutions de la Mer,Paris,,,,,,,,,,,,,,,,
DL,7/14/2015,7/22/2015,7/28/2015,7/31/2015,7/31/2015,,hd7?,8/17/2015,9934045602042,Bagit2,Agassiz_1840_atlas,91,22,2 Feature,ADD,,,,,,,"Agassiz, Louis",1840,Études sur les Glaciers,Neuchatel,,,,HASSELBLAD. ,WS1,,,,,,,,,,,
HOS,,-,8/20/2015,,,,,,99276370202042,WS2|Ready for script,Agricola_1556,,,2 Feature,,6/12/2015,,,,NO,,"Agricola, Georg",1556,De re metallica,Basel,,,,"Hasselblad. 5 p. l., 538 (i.e. 502) [74] p. illus. plates, diagrs. 33 cm. ",,,,,,,,,2',,,
DL,3/1/2014,5/1/2014,,,done,,hd3,7/16/2015,99321838402042,Bagit1,Ailly_1506,84,20,2 Feature,,6/1/2015,,,,,,"Ailly, Pierre d'",1506,Liber Petri [Super libros Meteororum Aristotelis] [manuscript],[Liptzk],,,,85 pp,WS1,,,,National Weather Center,,,8/31/2016,2',,,
