count,ALMA # (Unique ID),Title (English Short),Repository Link,Link to Catalog,Material Type,Author,Year
1,441206-1001,100 Tales,,,Book,Giovanni Boccaccio,1925
2,uncat-1008,Elisabeth and Johann Hevelius at the sextant,,,,,
3,599140-1001,The Great Art of Light and Shadow,,,Book,Athanasius Kircher,1646
4,uncat-1007,On Conic Sections,,,Book,Apollonius,1710
5,uncat-1006,"The Centenary of General Relativity, misc. items",,,Book,Albert Einstein,1915-2015
6,uncat-1002,Ethiopian Bible,,,Manuscript,,
7,uncat-1005,Preliminary Discourse for Astronomy,,,Book,Johann Hevelius,1690
8,597435-1001,Discourse on Two New Sciences,,http://libraries.ou.edu/eresources/catalog?task=search&term=99198515402042,Book,Galileo,1638
9,uncat-1003,A Geographical Map of the Terraqueous Globe,https://repository.ou.edu/embed/uuid/19ae2a83-7e31-5333-ac7a-9d875147978d,,Art,Heinrich Scherer,1700
10,9094-1001,Urania's Mirror with A Familiar Treatise on Astronomy,https://repository.ou.edu/embed/uuid/1fcd422b-3ae0-52e9-9c20-822e9de38507,,Book,Jehoshaphat Aspin,1825
11,2030883-1001,Biblical Sciences,,,Book,Johann Jakob Scheuchzer,1728
12,uncat-1004,"The Firmament of King Sobiesci, or Map of the Heavens",,,Book,Johann Hevelius,1690
13,uncat-1001,Chronicle of Mathematics,,,Manuscript,Bernardino Baldi,
14,,Ethiopian Bible,,,Manuscript,,
15,531071-2001,"Discourse on Two New Sciences, vol. 1",https://repository.ou.edu/embed/uuid/74fc15a9-edd2-54dd-bc74-d43a2b53d68b,http://libraries.ou.edu/eresources/catalog?task=search&term=99116900402042,Book,Galileo,1656
16,497435-1001,Discourse on Two New Sciences,,http://libraries.ou.edu/eresources/catalog?task=search&term=99198515402042,Book,Galileo,1638
17,600670-1001,"The New Almagest, part 1",https://repository.ou.edu/embed/uuid/192dc3aa-ad5e-5b3e-ae0f-7492c48c449c,http://libraries.ou.edu/eresources/catalog?task=search&term=99160516802042,Book,Giambattista Riccioli,1651
18,uncat-instr-1015,Polyhedral Sundial replica,,,Instrument,,
19,uncat-instr-1014,Orrery,,,Instrument,,
20,uncat-instr-1008,"Galileo Thermoscope replica, Bird Health Sciences Library",,,Instrument,,
21,uncat-instr-1006,Galileo Compass replica,,,Instrument,,
22,uncat-instr-1005,Demonstration Slide Rule,,,Instrument,,
23,uncat-instr-1004,Astrolabe replica,,,Instrument,,2015
24,uncat-instr-1003,Apple Computer,,,Instrument,,1984
25,uncat-instr-1002,Antonio van Leeuwenhoek Microscope replica,,,Instrument,,2015
26,uncat-instr-1001,Abacus model,,,Instrument,,
27,uncat-instr-1007,Galileo Telescope replica,,,Instrument,,
28,uncat-instr-1009,"Galileo Thermoscope replica, Bizzell Memorial Library",,,Instrument,,
29,uncat-instr-1012,Isabella Armillary Sphere replica,,,Instrument,,
30,uncat-instr-1017,Sundial replica,,,Instrument,,2015
31,uncat-instr-1016,Sextant replica,,,Instrument,,
32,uncat-instr-1013,Nocturnal Dial replica,,,Instrument,,2006
33,uncat-instr-1011,Giuseppe Campani Microscope replica,,,Instrument,,
34,uncat-instr-1010,"Galileo Thermoscope replica, National Weather Center",,,Instrument,,
